42.219.145.151,3631
42.219.152.127,2
42.219.152.246,882
42.219.153.113,27185
42.219.153.115,3726
42.219.153.140,26956
42.219.153.146,26594
42.219.153.154,25887
42.219.153.158,24693
42.219.153.159,20166
42.219.153.165,25426
42.219.153.16,2781
42.219.153.170,7503
42.219.153.174,18299
42.219.153.179,19454
42.219.153.193,16049
42.219.153.198,25159
42.219.153.210,24284
42.219.153.214,3516
42.219.153.216,2141
42.219.153.220,9667
42.219.153.221,19049
42.219.153.238,7308
42.219.153.23,10638
42.219.153.241,274
42.219.153.246,2587
42.219.153.250,9367
42.219.153.35,26540
42.219.153.36,2370
42.219.153.45,22019
42.219.153.47,16130
42.219.153.53,5123
42.219.153.59,28440
42.219.153.5,6196
42.219.153.60,15396
42.219.153.71,1921
42.219.153.75,22134
42.219.153.80,19932
42.219.153.81,15643
42.219.153.82,13994
42.219.153.83,23285
42.219.153.9,994
42.219.154.124,20501
42.219.154.152,24114
42.219.154.155,1
42.219.154.181,27392
42.219.154.184,9971
42.219.154.185,17929
42.219.154.189,28405
42.219.154.18,102
42.219.154.191,18561
42.219.155.115,8331
42.219.155.123,886
42.219.155.128,18
42.219.155.19,1
42.219.155.25,2
42.219.155.27,802
42.219.155.68,2
42.219.155.69,18387
42.219.155.72,24021
42.219.155.86,3955
42.219.155.87,4947
42.219.155.91,1
42.219.156.188,2278
42.219.156.190,2184
42.219.156.194,7179
42.219.156.227,1798
42.219.156.237,15423
42.219.156.240,1409
42.219.157.13,20823
42.219.157.28,11746
42.219.158.162,15769
42.219.158.163,889
42.219.158.169,5688
42.219.158.205,11447
42.219.158.209,23783
42.219.158.211,8958
42.219.158.217,19656
42.219.158.223,6672
42.219.158.224,26958
